DateTime;NO2 myg/m3;NOx myg/m3;O3 myg/m3;CO mg/m3;VH (m/s);T (grader C)
04-01-2021 00:00:00;1.95;1.74;48.75;0.16;6.29;0.2
04-01-2021 00:30:00;1.78;2.37;48.38;0.17;5.94;0.2
04-01-2021 01:30:00;2.47;2.66;44.48;0.16;5.88;-0.05
04-01-2021 02:00:00;2.39;2.2;44.42;0.16;5.44;-0.2
04-01-2021 02:30:00;2.45;2.62;44.72;0.17;5.83;-0.15
04-01-2021 03:00:00;2.75;3.06;44.03;0.16;5.49;-0.02
04-01-2021 03:30:00;1.76;2.37;44.32;0.17;4.61;0.11
04-01-2021 04:30:00;1.99;2.39;43.13;0.19;5.54;-0.05
04-01-2021 05:00:00;1.84;2.91;42.13;0.18;5.38;0
04-01-2021 05:30:00;3.42;4.59;40.55;0.19;5.22;0.05
04-01-2021 06:00:00;2.62;3.6;40.43;0.19;5.14;0.18
04-01-2021 06:30:00;3.23;4.88;38.76;0.19;5.51;0.07
04-01-2021 07:00:00;3.98;5.32;37.84;0.18;5.25;0.09
04-01-2021 07:30:00;4.74;6.58;38.1;0.18;5.62;0.17
04-01-2021 08:00:00;5.49;7.38;39.3;0.19;5.14;0.36
04-01-2021 08:30:00;4.49;5.66;40.71;0.19;5.82;0.1
04-01-2021 09:00:00;4.78;6.73;40.95;0.18;6.64;0.11
04-01-2021 09:30:00;4.63;7.29;40.39;0.18;5.87;0.31
04-01-2021 10:00:00;5.6;7.9;39.26;0.18;5.6;0.43
04-01-2021 10:30:00;4.67;7.06;40.61;0.21;5.58;0.41
04-01-2021 11:00:00;3.88;6.54;41.37;0.22;5.72;0.47
04-01-2021 11:30:00;3.75;6.06;41.35;0.21;5.55;0.5
04-01-2021 12:00:00;4.21;6.2;40.71;0.21;5.34;0.75
04-01-2021 12:30:00;4.17;6.92;40.29;0.21;5.2;1
04-01-2021 13:00:00;6.52;9.96;37.82;0.21;4.67;1.46
04-01-2021 13:30:00;5.7;8.22;38.94;0.19;5.69;1.57
04-01-2021 14:00:00;6.04;9.56;37.5;0.22;5.42;1.67
04-01-2021 14:30:00;6.23;7.99;36.06;0.22;5.89;1.6
04-01-2021 15:00:00;6.54;9.2;34.9;0.22;6.22;1.5
04-01-2021 15:30:00;6.22;7.1;33.91;0.19;6.29;1.25
04-01-2021 16:00:00;5.68;7.19;32.65;0.21;6.27;1.32
04-01-2021 16:30:00;6.6;8.7;30.25;0.19;6.2;1.3
04-01-2021 17:00:00;5.89;7.99;29.96;0.22;6.25;1.3
04-01-2021 17:30:00;5.99;7.44;29.24;0.19;6.14;1.49
04-01-2021 18:00:00;5.55;7.11;28.82;0.22;6.24;1.52
04-01-2021 18:30:00;5.83;7.15;28.88;0.22;7.08;1.5
04-01-2021 19:00:00;5.28;6.52;28.88;0.22;6.9;1.61
04-01-2021 19:30:00;5.41;6.66;27.54;0.22;5.52;1.8
04-01-2021 20:00:00;5.79;6.96;26.82;0.22;6.03;1.76
04-01-2021 20:30:00;5.24;6.56;26.4;0.19;5.52;1.77
04-01-2021 21:00:00;3.88;5.51;27.62;0.21;5.64;1.75
04-01-2021 21:30:00;4.97;5.85;25.88;0.21;5.65;1.7
04-01-2021 22:00:00;5.01;6.45;24.85;0.21;5.85;1.54
04-01-2021 22:30:00;4.51;5.57;25.21;0.21;6.17;1.51
